Name,Average Art Classes,Free Reduced Lunch,%POC,African American,American Indian or Alaska Native,Asian,Filipino,Hispanic or Latino,Pacific Islander,White,Two or More Races,Not Reported,Total
ABC Unified,12.8,50.00%,94.10%,8.60%,0.30%,23.60%,11.70%,45.80%,0.60%,5.90%,2.70%,0.90%,"20,465"
Acton-Agua Dulce Unified,81.71428571,51.00%,65.70%,8.50%,0.50%,3.00%,0.80%,42.10%,0.30%,34.30%,6.40%,4.10%,"15,819"
Alhambra Unified,8.944444444,62.30%,97.80%,0.70%,0.20%,50.40%,2.30%,40.80%,0.10%,2.20%,2.70%,0.70%,"16,531"
Antelope Valley Union High,38,66.30%,87.70%,16.70%,0.30%,1.30%,1.40%,63.30%,0.10%,12.30%,4.40%,0.10%,"22,476"
Arcadia Unified,17.8,26.00%,87.70%,1.80%,0.10%,65.60%,3.10%,14.90%,0.10%,12.30%,1.90%,0.20%,"9,357"
Azusa Unified,11.71428571,82.00%,96.60%,1.00%,0.20%,1.30%,1.10%,92.30%,0.00%,3.40%,0.50%,0.20%,"8,010"
Baldwin Park Unified,71.22222222,90.00%,97.00%,3.00%,0.60%,5.00%,1.40%,79.60%,0.10%,3.00%,0.80%,6.40%,"15,949"
Bassett Unified,11,92.80%,99.10%,0.70%,0.10%,4.10%,1.40%,92.80%,0.00%,0.90%,0.00%,0.00%,"3,520"
Bellflower Unified,27.33333333,69.30%,90.50%,12.90%,0.40%,3.90%,4.50%,64.90%,0.90%,9.50%,2.60%,0.50%,"11,671"
Beverly Hills Unified,16.6,16.50%,29.40%,2.40%,0.20%,11.60%,0.80%,8.70%,0.20%,70.60%,4.40%,1.00%,"3,773"
Bonita Unified,13,38.40%,73.00%,2.90%,0.10%,6.20%,2.30%,52.50%,0.10%,27.00%,6.10%,2.80%,"10,055"
Burbank Unified,14.66666667,36.30%,52.80%,2.60%,0.20%,5.30%,3.90%,34.50%,0.10%,47.20%,4.40%,1.80%,"15,203"
Castaic Union,2,31.30%,57.50%,2.00%,0.00%,3.70%,3.50%,43.70%,0.20%,42.50%,4.30%,0.00%,"2,037"
Centinela Valley Union High,31.4,72.80%,97.30%,15.50%,0.30%,2.30%,0.90%,74.50%,0.80%,2.70%,2.60%,0.40%,"7,473"
Charter Oak Unified,10.5,55.50%,83.70%,2.70%,0.50%,5.30%,2.50%,69.50%,0.30%,16.30%,2.80%,0.00%,"4,581"
Claremont Unified,5.1,35.40%,66.60%,4.40%,0.20%,10.40%,1.50%,42.30%,0.20%,33.40%,5.90%,1.90%,"6,945"
Compton Unified,7.071428571,83.00%,99.50%,18.10%,0.20%,0.10%,0.00%,78.70%,0.50%,0.50%,0.30%,1.60%,"22,975"
Covina-Valley Unified,12.42857143,68.80%,92.10%,2.70%,0.30%,6.30%,3.10%,78.40%,0.20%,7.90%,1.00%,0.10%,"11,713"
Culver City Unified,12.66666667,31.10%,73.50%,12.90%,0.20%,10.60%,1.50%,37.20%,0.20%,26.50%,10.30%,0.50%,"7,144"
Downey Unified,19.375,68.60%,95.50%,2.70%,0.10%,1.70%,0.90%,89.30%,0.20%,4.50%,0.60%,0.00%,"22,064"
Duarte Unified,28.75,61.50%,88.10%,3.50%,0.50%,5.50%,3.50%,67.20%,0.10%,11.90%,3.50%,4.30%,"4,761"
East Whittier City Elementary,11.33333333,55.40%,89.50%,0.80%,0.10%,1.30%,1.00%,84.50%,0.20%,10.50%,1.30%,0.20%,"8,570"
Eastside Union Elementary,4,87.50%,92.60%,22.50%,0.20%,0.40%,1.40%,64.50%,0.30%,7.40%,3.30%,0.10%,"3,275"
El Monte City,5.166666667,93.30%,98.80%,0.30%,0.00%,18.00%,0.60%,79.90%,0.00%,1.20%,0.00%,0.00%,"8,002"
El Monte Union High,33.28571429,87.80%,98.70%,0.30%,0.10%,20.10%,0.70%,77.50%,0.10%,1.30%,0.00%,0.00%,"8,642"
El Rancho Unified,12.33333333,71.60%,99.10%,0.30%,0.00%,0.50%,0.40%,97.50%,0.00%,0.90%,0.20%,0.00%,"8,472"
El Segundo Unified,15.66666667,15.10%,49.00%,4.30%,0.30%,6.80%,1.30%,20.80%,0.60%,51.00%,14.80%,0.00%,"3,453"
Garvey Elementary,0,79.10%,98.70%,0.40%,0.20%,58.50%,1.20%,37.10%,0.00%,1.30%,0.80%,0.70%,"4,574"
Glendale Unified,15.4,51.60%,41.60%,1.10%,0.20%,11.60%,5.20%,20.50%,0.10%,58.40%,2.90%,0.00%,"25,789"
Glendora Unified,10.75,28.80%,62.30%,1.20%,0.20%,9.20%,2.30%,44.40%,0.10%,37.70%,4.90%,0.00%,"7,198"
