Code,Match Map Data,District Name,Fine Arts Average Classes/School,English Language Arts# Schls,English Language Arts# Classes,Math# Schls,Math# Classes,Science# Schls,Science# Classes,History# Schls,History# Classes,FLang# Schls,FLang# Classes,Fine Arts# Schls,Fine Arts# Classes,PE# Schls,PE# Classes,Self Contained# Schls,Self Contained# Classes,Other# Schls,Other# Classes,,Eng Average,Math Ave,Science Ave,History AVe,Foreign Lang AVe,PE Ave,Self Ave,Other Ave
1964550,GARVEY ELEMENTARY,Garvey Elementary,#DIV/0!,2,69,2,45,2,39,2,41,0,0,0,0,2,36,11,174,3,84,,34.5,22.5,19.5,20.5,#DIV/0!,18,15.81818182,28
1964626,HUGHES-ELIZABETH LAKES UNION ELEMENTARY,Hughes-Elizabeth Lakes Union Elementary,#DIV/0!,1,3,1,2,1,2,1,2,0,0,0,0,1,2,1,9,1,2,,3,2,2,2,#DIV/0!,2,9,2
1964931,ROSEMEAD ELEMENTARY,Rosemead Elementary,#DIV/0!,1,22,0,0,1,25,1,19,0,0,0,0,1,15,5,851,0,0,,22,#DIV/0!,25,19,#DIV/0!,15,170.2,#DIV/0!
1964998,SAUGUS UNION,Saugus Union,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,388,15,42,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,25.86666667,2.8
1976547,SBE - BARACK OBAMA CHARTER,SBE - Barack Obama Charter,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,16,#DIV/0!
1965045,SULPHUR SPRINGS UNION,Sulphur Springs Union,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,223,0,0,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,24.77777778,#DIV/0!
1965078,VALLE LINDO ELEMENTARY,Valle Lindo Elementary,#DIV/0!,1,20,1,14,1,11,1,10,0,0,0,0,1,6,2,40,1,10,,20,14,11,10,#DIV/0!,6,20,10
1964584,GORMAN JOINT,Gorman Joint,313,1,288,1,303,1,177,1,229,1,158,1,313,1,168,2,142,1,203,,288,303,177,229,158,168,71,203
1975309,ACTON-AGUA DULCE UNIFIED,Acton-Agua Dulce Unified,81.71428571,15,"3,685",15,"2,901",15,"1,725",15,"2,430",13,673,14,"1,144",15,"1,322",13,"2,839",14,"1,311",,245.6666667,193.4,115,162,51.76923077,88.13333333,218.3846154,93.64285714
1964287,BALDWIN PARK UNIFIED,Baldwin Park Unified,71.22222222,9,"3,538",9,"2,609",9,990,9,"2,040",5,515,9,641,9,852,14,348,9,"1,474",,393.1111111,289.8888889,110,226.6666667,103,94.66666667,24.85714286,163.7777778
1964246,ANTELOPE VALLEY UNION HIGH,Antelope Valley Union High,38,14,"1,575",14,"1,174",14,869,14,"1,083",11,328,13,494,13,471,1,2,14,"1,921",,112.5,83.85714286,62.07142857,77.35714286,29.81818182,36.23076923,2,137.2142857
1975333,MANHATTAN BEACH UNIFIED,Manhattan Beach Unified,35,6,170,2,136,2,129,2,118,2,92,2,70,2,64,5,106,8,345,,28.33333333,68,64.5,59,46,32,21.2,43.125
1964519,EL MONTE UNION HIGH,El Monte Union High,33.28571429,7,539,7,388,7,317,7,382,6,167,7,233,7,225,0,0,7,856,,77,55.42857143,45.28571429,54.57142857,27.83333333,32.14285714,#DIV/0!,122.2857143
1975291,SAN GABRIEL UNIFIED,San Gabriel Unified,32.5,4,706,4,587,4,309,4,463,3,118,4,130,4,233,6,115,4,258,,176.5,146.75,77.25,115.75,39.33333333,58.25,19.16666667,64.5
1964352,CENTINELA VALLEY UNION HIGH,Centinela Valley Union High,31.4,6,400,5,340,5,243,6,274,3,145,5,157,4,104,3,29,7,572,,66.66666667,68,48.6,45.66666667,48.33333333,26,9.666666667,81.71428571
1964469,DUARTE UNIFIED,Duarte Unified,28.75,9,552,9,451,9,206,9,393,7,113,8,230,7,146,8,83,8,235,,61.33333333,50.11111111,22.88888889,43.66666667,16.14285714,20.85714286,10.375,29.375
